GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
email,com.example,Filter,5,141,4,4,1,26,5,16,1,16
email,com.example,Correo,0,38,0,0,0,15,0,9,0,9
email,com.example,Bandeja,0,31,0,0,0,10,0,5,0,5
email,com.example,Contact,5,30,2,2,1,9,2,4,0,4
email,com.example,EmailManager,0,39,0,2,0,11,0,3,0,2
